Scenario,PPV_1,PPV_2,PPV_3,PPV_4,PPV_5,PPV_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
Sanctuary,0.214285714285714,0.258928571428571,0.2797625,0.3125,0.346428571428571,0.4047625,0.4047625,0.851191071428571,1,29.5,7700,3500
ShroudPlatform,0.271739130434783,0.260869565217391,0.271739130434783,0.298913043478261,0.344928260869565,0.41630652173913,0.41630652173913,0.849639130434782,1.1,31.5,12000,6100
SpaceAtoll,0.196428571428571,0.223214285714286,0.249998214285714,0.28125,0.303571428571429,0.330126785714286,0.330126785714286,0.830728571428572,1,28.6,8200,4200
SpaceDebris,0.142857142857143,0.205357142857143,0.252978571428571,0.314285714285714,0.350596428571429,0.383292857142857,0.383292857142857,0.8456125,1,30.6,5000,1800
SteppingStones,0.267857142857143,0.294642857142857,0.345233928571429,0.40625,0.478571428571429,0.544219642857143,0.544219642857143,0.885789285714286,1,28.7,1400,690
Triskelion,0.232142857142857,0.241071428571429,0.255946428571428,0.274873214285714,0.308035714285714,0.3452375,0.3452375,0.8359375,1,32.6,11000,5000
WarpGates,0.1875,0.229166071428571,0.272321428571429,0.307142857142857,0.335119642857143,0.383083928571429,0.383083928571429,0.8426375,1,29.9,4400,1900
WatersEdge,0.160714285714286,0.178571428571429,0.208332142857143,0.266369642857143,0.343253571428571,0.411875,0.411875,0.848957142857143,1,29.8,6400,4400
WaypointJunction,0.267857142857143,0.264880357142857,0.286905357142857,0.311225,0.361507142857143,0.442219642857143,0.442219642857143,0.860123214285714,1,31.9,4000,1700
WinterConquest,0.137254901960784,0.205882352941176,0.274509803921569,0.362745098039216,0.436927450980392,0.498690196078431,0.498690196078431,0.870096078431372,1,29.7,6800,3400
,0.205204305889474,0.243015251483859,0.278626399511222,0.323144694762175,0.370933111661807,0.422932638891309,0.443069338398698,0.859557630879045,1.00689655172414,29.9551724137931,4800,2300
,,,,,,,0.090037623426747,0.021978791774545,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,49.5,87.4,,,,
,,,,,,,48,87,,,,
,,,,,,,40.4,84.9,,,,
,,,,,,,40.1,85,,,,
,,,,,,,58.7,89.6,,,,
,,,,,,,44,85.9,,,,
,,,,,,,41.4,85.3,,,,
,,,,,,,36.7,84,,,,
,,,,,,,44.7,86.2,,,,
,,,,,,,44.3,86.1,,,,
,,,,,,,43.2,85.7,,,,
,,,,,,,50,87.4,,,,
,,,,,,,39.3,84.8,,,,
,,,,,,,45.6,86.3,,,,
,,,,,,,40.1,84.9,,,,
,,,,,,,34.4,83.6,,,,
,,,,,,,42.9,85.7,,,,
,,,,,,,45.5,86.2,,,,
,,,,,,,40.5,85.1,,,,
,,,,,,,41.6,85,,,,
,,,,,,,33,83.1,,,,
,,,,,,,38.3,84.6,,,,
,,,,,,,54.4,88.6,,,,
,,,,,,,34.5,83.6,,,,
,,,,,,,38.3,84.3,,,,
,,,,,,,41.2,84.9,,,,
,,,,,,,44.2,86,,,,
,,,,,,,49.9,87,,,,
